hotttness,familiarity,danceability,duration,energy,loudness,year,tempo,analysis_rate,end_of_fade_in,key,key_confidence,mode,mode_confidence,start_of_fade_out,time_signature,time_signature_conf,track_id
0.489149817,0.696450939,0,244.08771,0,-6.228,0,123.245,22050,0,7,0.788,1,0.635,224.682,4,1,TRBFWSP128F92F29B4
0.383845367,0.585735488,0,157.43955,0,-13.915,1967,109.516,22050,0,5,0.337,1,0.238,151.417,5,0.891,TRBFWSU12903CC36BE
0.718891456,0.839297678,0,336.84853,0,-5.158,2002,130.281,22050,4.377,6,0.896,1,0.688,323.715,4,0.283,TRBFWCC128F93017D3
0.363330566,0.619577799,0,568.99873,0,-18.786,0,100.648,22050,4.685,7,0.777,1,0.421,539.312,4,0.805,TRBFWWA128F425BD1E
0.168202063,0.546253073,0,32.96608,0,-8.236,0,95.761,22050,0,2,0.242,1,0.779,32.966,4,1,TRBFWTU128F4220AC5
0.586433379,0.804523521,0,237.94893,0,-6.519,1999,136.957,22050,2.995,10,0.707,1,0.449,222.314,4,1,TRBFWXD128E0780DBB
0.386243701,0.548882424,0,283.74159,0,-16.715,1998,122.895,22050,8.94,6,0.538,1,0.568,274.338,4,0.784,TRBFFSS128F932F5D4
0.382976458,0.575686501,0,192.83546,0,-9.476,0,153.021,22050,0.206,2,0.613,1,0.595,183.85,1,0,TRBFFMO128F92CB1EF
0.351555861,0.545159296,0,226.24608,0,-8.781,0,99.093,22050,2.45,4,0.655,1,0.425,210.953,4,0.908,TRBFFKC128F92F67B0
0.398727123,0.607919978,0,229.79873,0,-5.118,2007,239.407,22050,0,2,1,1,0.783,216.375,4,0,TRBFFKN128F422F3CC
0.443395585,0.639165318,0,273.34485,0,-7.184,2007,123.004,22050,0.241,1,0,1,0,260.011,4,0.161,TRBFFNE128F92F6001
0.440326073,0.680620248,0,218.40934,0,-11.496,1996,67.137,22050,0,1,0.544,1,0.541,209.676,3,0.422,TRBFFIF128F4233A62
0,0.346883859,0,225.59302,0,-3.883,0,210.124,22050,0,9,0.012,1,0.274,218.79,4,0.362,TRBFFVX128F426D1A4
0.385470551,0.535292736,0,222.92853,0,-5.825,0,121.944,22050,0.392,8,0.643,1,0.779,210.593,4,0.202,TRBFFQY128F1481E79
0.320306497,0.557026164,0,192.60036,0,-12.883,0,88.537,22050,0.444,11,0.367,1,0.573,192.6,5,0.57,TRBFFFU128F4264642
0.31579568,0.501565375,0,359.65342,0,-4.523,0,99.882,22050,0.375,0,0,1,0.209,356.02,1,0.463,TRBFFSW128F931DF21
0.404566538,0.520757635,0,203.31057,0,-6.958,1972,104.796,22050,0.131,9,0.161,0,0.198,192.621,4,0.476,TRBFFZN12903D08332
0,0.229264431,0,216.68526,0,-24.009,0,85.184,22050,2.165,4,0.433,1,0.416,210.901,4,0.515,TRBFFSG128F42907C1
0.382980603,0.582598541,0,173.322,0,-19.928,0,202.693,22050,0.56,5,0.624,1,0.659,157.96,5,0.471,TRBFSPZ12903CB5230
0.2887316,0.322207066,0,548.38812,0,-24.568,0,156.27,22050,2.554,0,0.651,0,0.866,499.821,4,0.729,TRBFSPK128F92F3A22
0.421973968,0.67161064,0,343.562,0,-5.82,2004,123.847,22050,0.084,8,0.637,0,0.452,324.11,4,1,TRBFSKB128F145C5B1
0.343389815,0.489537502,0,147.17342,0,-33.364,0,108.948,22050,0.247,5,0.59,1,0.808,147.173,4,0,TRBFSPA128F9340CDC
0.429261029,0.664690939,0,249.83465,0,-4.73,0,100.058,22050,0.165,5,0.269,1,0.042,234.963,4,0.683,TRBFSAI128F92F4AC0
0.396018754,0.606102515,0,229.642,0,-12.818,1988,129.846,22050,2.891,0,0.725,1,0.635,212.648,4,0,TRBFSNP128F14572B5
0.243667856,0.192663853,0,214.72608,0,-11.277,0,158.419,22050,0,5,0.277,0,0.55,209.403,7,0.695,TRBFSEX128F9300418
0.43413714,0.867951193,0,214.9873,0,-11.588,2008,119.612,22050,2.31,1,0.66,1,0.5,207.337,4,0.432,TRBFXMJ12903CB50F6
0.424940331,0.731822219,0,207.72526,0,-9.727,1988,81.982,22050,0.348,9,0.952,1,0.682,195.663,4,0,TRBFXQT128F148D15B
0.275197862,0.352913734,0,256.83546,0,-10.027,0,139.603,22050,0.45,8,0.243,0,0.249,252.064,4,1,TRBFXQM128F92FFAFB
0.365514003,0.35342955,0,224.05179,0,-16.386,0,248.079,22050,0.223,11,0.071,0,0.152,214.988,4,0,TRBFXLH12903CBAFAD
0.373045954,0.435732004,0,189.46567,0,-5.154,0,151.984,22050,0,4,0.856,1,0.74,183.832,1,0.47,TRBFXSF128EF361A07
0.398373123,0.475721567,0,159.32036,0,-8.312,0,170.474,22050,0.363,9,0.329,1,0.375,148.132,4,0.077,TRBFXVP128F42304C4
0.550212244,0.747556581,0,213.78567,0,-6.065,2000,96.57,22050,0,10,0.3,0,0.336,204.614,4,0.987,TRBFXOQ128F426A061
0.398181055,0.518310127,0,310.64771,0,-9.013,0,126.537,22050,0.237,7,0.744,1,0.448,305.342,1,0,TRBFXVN128E078CF62
0,0.411939008,0,211.53914,0,-9.86,0,137.495,22050,0.262,2,0.562,1,0.587,199.889,4,0.756,TRBFXLM128F424794B
0.36950575,0.56573878,0,204.85179,0,-6.682,0,126.956,22050,0.119,8,0.594,1,0.426,186.694,4,0.343,TRBFMFO128F421BFD4
0.466991272,0.713945881,0,242.18077,0,-7.665,0,83.341,22050,0.287,2,0.535,1,0.439,235.752,1,0.694,TRBFMKO128F426EB91
0.458595403,0.679749124,0,241.24036,0,-9.742,0,107.936,22050,0.177,1,0.042,0,0.314,226.371,3,1,TRBFMCF128F42885AC
0.319966984,0.468400415,0,162.61179,0,-6.419,0,107.741,22050,0.153,9,0.497,1,0.341,152.317,1,0,TRBFMZP128F1490058
0.395627514,0.514064276,0,211.3824,0,-5.712,0,149.79,22050,0.096,7,1,1,0.758,204.632,4,0.71,TRBFMIU12903CB8536
0.310600344,0.516873683,0,151.32689,0,-11.579,0,160.623,22050,3.547,4,0.62,1,0.545,145.148,4,0.297,TRBFMDY128F426E9B4
0,0.464210983,0,183.71873,0,-18.742,0,107.957,22050,0.415,7,0.211,1,0.469,176.373,4,0,TRBFMWC128F4281F9B
0,0.498537927,0,225.07057,0,-5.554,0,84.682,22050,0.537,9,0.605,0,0.567,219.121,3,1,TRBFMAZ128F92F3A2A
0.352976472,0.510301323,0,238.10567,0,-10.987,1975,108.241,22050,0.148,4,0.64,0,0.724,228.026,4,0.611,TRBFMGE12903CDECE5
0.382846901,0.594866645,0,175.15057,0,-19.239,1926,101.676,22050,0.56,4,0.18,1,0.112,166.522,3,0.607,TRBFMCN128F423625D
0.776037656,0.814829656,0,242.20689,0,-3.237,1981,130.372,22050,0,5,0.842,1,0.623,242.207,4,0,TRBFMTO128F9322AE7
0.528302262,0.749876367,0,255.39873,0,-8.022,1998,105.919,22050,0.183,10,0.558,1,0.184,245.522,3,0.882,TRBFMAS128E078F352
0.449608088,0.653340693,0,243.1473,0,-10.207,0,130.382,22050,0.504,4,0.637,1,0.792,233.958,4,0.54,TRBFMMC12903CF6047
0.61999595,0.73537015,0,258.89914,0,-15.835,1999,156.507,22050,0.285,2,0.958,1,0.793,246.851,3,0,TRBFMGQ128F931E0A0
0.397179043,0.530355668,0,291.49995,0,-13.629,0,97.691,22050,0.218,1,0.261,1,0.283,278.727,4,0.369,TRBFMWE128F933A55F
0.430942043,0.639436949,0,236.09424,0,-15.737,0,91.888,22050,0.253,2,0.905,1,0.947,227.103,4,0.537,TRBFMBC128F4280A31
0.116156134,0.27790004,0,177.50159,0,-8.675,0,99.214,22050,0.09,9,0.671,1,0.779,169.773,4,0.433,TRBFMVM128F9361E39
0.326235946,0.530631077,0,347.79383,0,-4.281,2006,170.041,22050,0.16,8,0.766,1,0.666,338.797,4,0.572,TRBFUDB128F429C1B8
0.543706051,0.676755655,0,247.24853,0,-7.518,0,120.08,22050,0.177,4,0.345,0,0.439,234.899,4,1,TRBFUSW128F92D0357
0.473636665,0.583989842,0,209.97179,0,-12.019,0,122.077,22050,0,2,0.187,1,0.389,196.377,4,0.634,TRBFUPH128F426310A
0,0.142605158,0,138.94485,0,-14.406,0,136.577,22050,0.298,0,0.133,1,0.329,135.767,1,0.206,TRBFUTW128F93112E3
0.349590024,0.516798805,0,181.39383,0,-9.735,0,212.401,22050,0.193,4,0.358,0,0.406,181.394,7,0.006,TRBFULU128F1486D18
0.498497973,0.750621598,0,170.89261,0,-15.591,1985,112.48,22050,0.256,0,0.491,1,0.609,162.482,4,0,TRBFUMI128F42B5731
0.358681693,0.527919316,0,251.61098,0,-13.327,0,106.847,22050,0.362,0,0.925,1,0.562,242.277,4,1,TRBFUPZ128F145DB81
0.268959772,0.439716355,0,349.51791,0,-9.651,0,119.987,22050,0,10,0.214,0,0.501,334.913,4,0.193,TRBFUUY128F426D21B
0.58985618,0.793708084,0,216.5024,0,-9.911,2004,142.121,22050,0,7,0,1,0.286,205.752,3,0.661,TRBFURI128F1455498
0.345637314,0.541611591,0,241.52771,0,-18.454,1992,108.616,22050,4.18,2,0.057,1,0.15,217.13,4,0.876,TRBFUNY128C7196B7D
0.423021922,0.645367956,0,256.67873,0,-10.223,0,120.093,22050,0.403,0,0.576,1,0.561,236.292,4,0.739,TRBFUXQ128F145B135
0.453850265,0.698291624,0,291.16036,0,-3.349,1992,180.469,22050,0,9,0.193,1,0.226,283.103,4,0.82,TRBFBOG128F9356C6E
0.497050959,0.732603394,0,347.53261,0,-8.502,1996,165.81,22050,0.16,9,0.415,0,0.541,347.533,4,0.565,TRBFBQO12903CE7ACD
0.419408141,0.693327979,0,182.49098,0,-12.007,1993,67.56,22050,0.195,11,0.023,1,0.289,175.438,7,0.721,TRBFBYF12903CFB6B4
0.397594324,0.606885311,0,233.7171,0,-10.503,0,124.021,22050,0.438,0,0.621,0,0.575,228.984,4,0.977,TRBFBCH128F92FAA04
0.446459238,0.605115789,0,220.83873,0,-12.637,1990,107.373,22050,0.3,7,0.613,1,0.539,207.557,4,0.113,TRBFBRX128F148C4F1
0.351170212,0.447725075,0,202.29179,0,-8.235,0,60.025,22050,0.125,7,0.274,1,0.304,198.577,1,0,TRBFBYS128F92F261C
0.407539019,0.604282094,0,128.1824,0,-6.515,1994,124.283,22050,0.496,10,0.695,1,0.66,128.182,4,0.408,TRBFBLS12903CBBABB
0,0.188667695,0,255.4771,0,-17.608,0,86.666,22050,0.456,0,0.813,1,0.657,250.346,5,0.61,TRBFBMD128F4270DA5
0.487595648,0.700570065,0,240.97914,0,-8.505,0,143.908,22050,0.374,3,0.751,1,0.66,230.208,4,0.863,TRBFBUO128F42A3DED
0.300518711,0.391730379,0,107.7024,0,-18.352,0,82.491,22050,0,7,0.483,0,0.424,97.199,4,1,TRBFBSN128F9312468
0.412115553,0.613464932,0,192.86159,0,-17.27,2009,90.845,22050,4.47,1,0.418,1,0.458,192.862,5,0.282,TRBFBQG128F9313C6D
0.507965802,0.830252262,0,441.88689,0,-5.94,2002,154.24,22050,0,7,0.705,1,0.532,420.513,3,0.909,TRBFBAB128F4227B85
0.38490225,0.589512634,0,259.83955,0,-6.699,0,119.992,22050,0,11,0.614,1,0.301,252.865,4,0.996,TRBFGDX128F1452E74
0.431448035,0.577232155,0,164.33587,0,-6.231,2000,105.976,22050,0.34,4,0.077,1,0.435,156.52,4,1,TRBFGFF12903CF4183
0.25706292,0.341513855,0,164.54485,0,-13.827,0,107.288,22050,0,4,0.481,1,0.519,159.643,3,0.74,TRBFGDY128F933AB85
0.425450614,0.674839436,0,84.47955,0,-12.75,1997,93.352,22050,0.172,4,0.065,0,0.39,79.47,4,1,TRBFGZZ128F426DE40
0.36481887,0.553914553,0,331.59791,0,-8.1,0,170.04,22050,8.168,7,0.739,1,0.518,315.867,4,0.922,TRBFGFT12903CD2720
0.564005986,0.817635146,0,224.57424,0,-15.849,1984,139.487,22050,4.766,0,0.956,1,0.854,220.665,4,0,TRBFGDW128F4261FA6
0.270408647,0.386115944,0,162.01098,0,-13.675,0,81.827,22050,0,8,0,0,0.085,157.524,1,0.715,TRBFTFY12903CEDB2F
0.339611732,0.548738642,0,170.91873,0,-10.903,0,144.072,22050,0.241,1,0.026,0,0.269,168.467,3,0.244,TRBFTWM128F932535D
0.382843062,0.537160563,0,285.1522,0,-11.969,1975,126.729,22050,0.792,1,0.619,1,0.617,281.112,4,0,TRBFTJP128F426AC3F
0.477889304,0.791465542,0,809.58649,0,-3.894,0,129.703,22050,0,7,0.112,1,0.36,796.729,7,1,TRBFTZS128F425EAAB
0.411650961,0.674288837,0,218.46159,0,-8.588,0,88.384,22050,0,7,0.375,0,0.178,210.802,4,0.839,TRBFTGO128F92CF831
0.295117194,0.580910693,0,165.48526,0,-13.196,0,142.763,22050,0,9,0,0,0.185,158.813,1,0,TRBFTHM12903CCC8FD
0.412830112,0.533504314,0,412.02893,0,-14.964,0,84.949,22050,1.019,7,0.34,0,0.313,390.327,4,0.76,TRBFDRD128F92F79D5
0.472451772,0.64783484,0,336.32608,0,-12.328,2003,105.981,22050,0,9,0.048,1,0.033,326.502,4,1,TRBFDOH128F933797E
0.430897609,0.567510986,0,221.6224,0,-11.881,0,128.137,22050,0.206,7,0.414,1,0.443,216.474,4,0,TRBFDGT128E0786A25
0.701404766,0.852569498,0,158.22322,0,-11.807,0,114.066,22050,0.258,7,0.427,1,0.576,149.031,1,0,TRBFDHN128F4242963
0.345935702,0.649155774,0,521.19465,0,-5.543,0,145.011,22050,0,11,0,0,0,515.68,4,0.315,TRBFDVW128F92ED2D6
0.601436483,0.638614022,0,296.38485,0,-2.029,0,115.236,22050,0,10,0.347,0,0.441,292.351,4,1,TRBFVAA128F423C356
0.366741233,0.588140722,0,193.48853,0,-10.363,0,171.505,22050,0,6,0.855,1,0.741,175.798,4,0.259,TRBFVEM128F147508C
0.344814469,0.444926413,0,233.27302,0,-5.92,2003,208.002,22050,0.073,9,0.586,0,0.551,229.75,4,0.636,TRBFVDB128F423EA48
0.605191153,0.775086058,0,219.37587,0,-7.36,2005,148,22050,2.27,7,0.512,1,0.581,209.874,4,0.463,TRBFVMO128F14537D3
0.401462053,0.452400582,0,352.86159,0,-11.714,0,85.989,22050,0.194,10,0.335,0,0.465,339.238,4,1,TRBFVOP12903CF0DFA
0.512812103,0.603843765,0,236.77342,0,-4.548,0,122.645,22050,0,9,0.587,0,0.487,236.773,5,0.749,TRBFVRE12903CC70CA
0.298946784,0.407849997,0,197.38077,0,-14.728,0,100.341,22050,0.14,3,0,1,0.352,190.299,1,0,TRBFVTI12903CFD630
0.578301634,0.655921418,0,346.5922,0,-15.018,1993,89.921,22050,0.293,3,0.778,1,0.769,339.336,4,0.473,TRBFVZI128F147FCAF
0.488536125,0.681090692,0,188.21179,0,-5.008,2000,178.142,22050,0,7,1,1,0.821,188.212,4,0,TRBFVEP128F42621E3
0.26622954,0.274432948,0,188.86485,0,-17.193,0,81.858,22050,0,8,0.289,1,0.427,182.184,4,0.965,TRBFVAS128F93576F0
0.332809832,0.638864203,0,249.52118,0,-5.951,0,98.998,22050,0.061,3,0.369,1,0.421,244.402,4,0.256,TRBFVZZ128F92FD7B5
0.34369745,0.455679779,0,172.30322,0,-18.226,0,167.559,22050,0.577,2,0.711,1,0.605,172.303,4,0.477,TRBFVKF128F92C8724
0,0.395603509,0,217.65179,0,-8.852,0,102.99,22050,2.659,7,0.453,1,0.525,206.489,4,0.436,TRBFVEP12903CF345D
0.281887097,0.386716175,0,175.0722,0,-19.273,0,80.583,22050,0,2,0.291,1,0.543,169.709,3,1,TRBFAMG128F9309CF7
0.287602557,0.550458405,0,259.02975,0,-5.284,2005,98.638,22050,0,11,0.129,0,0.201,259.03,5,1,TRBFAGW12903CC81E2
0.412115553,0.613464932,0,70.05995,0,-24.651,2009,60.404,22050,0.655,9,0.253,1,0.306,60.749,1,0,TRBFAON128F9313C62
0.313569343,0.42054585,0,161.93261,0,-7.8,0,98.713,22050,0,2,0.904,1,0.839,156.357,4,0.613,TRBFAHS128F42804D6
0.267757495,0.450361261,0,225.25342,0,-27.019,2005,149.895,22050,0.252,2,0.007,1,0.368,214.674,4,0.74,TRBFAMN128F42367B5
0.560819769,0.768004235,0,98.89914,0,-3.805,2003,85.466,22050,0,0,0.541,0,0.488,98.899,5,1,TRBFAWM128E0785A59
0.310087326,0.3949625,0,99.29098,0,-6.748,0,88.138,22050,0,3,0.177,1,0.423,99.291,4,0.562,TRBFAFH128F92D5762
0.362218957,0.608703568,0,183.17016,0,-14.668,0,180.521,22050,0.276,0,0.594,1,0.64,176.216,4,0,TRBFANQ12903CB8F48
0.440326073,0.680620248,0,180.81914,0,-13.606,1994,164.069,22050,0.411,4,0.56,1,0.526,169.732,4,0,TRBFALE128EF341C77
0.416935872,0.619260605,0,236.43383,0,-5.438,2001,102.643,22050,0.072,0,0,0,0,231.242,4,1,TRBFAMR128F9306CC5
0.296076184,0.425735083,0,290.37669,0,-4.502,0,156.078,22050,0,9,0.389,0,0.234,287.678,4,0,TRBFAWU12903CEC528
0.349476327,0.618002715,0,125.77914,0,-7.117,2004,242.7,22050,0.136,1,0.481,1,0.41,117.307,4,0,TRBFATS128F9319AEB
0.368054039,0.572500601,0,193.20118,0,-19.233,0,102.248,22050,0.177,6,0.002,1,0.257,185.109,4,0.221,TRBFASC128F424D427
0.420412618,0.786359137,0,136.17587,0,-5.492,2007,130.48,22050,0.107,4,0.195,0,0.509,131.93,4,0.813,TRBFAHF128F42A1F03
0.437987748,0.604296587,0,204.09424,0,-11.774,0,146.186,22050,0.2,4,0.974,1,0.629,189.463,4,0,TRBFAKP128F148B600
0.131537346,0.405861038,0,265.82159,0,-7.284,0,174.984,22050,0,1,0.472,1,0.189,265.822,4,0.826,TRBFAWS12903CF8E2E
0.238795251,0.421892529,0,224.07791,0,-8.811,2001,101.684,22050,3.245,0,0.231,0,0.359,211.859,4,0.47,TRBFANX128F42934C3
0.374375168,0.44974084,0,150.282,0,-14.305,2006,73.314,22050,0,0,0.334,1,0.473,142.414,7,0.991,TRBFAPA128F9353136
0.343844499,0.616884544,0,299.49342,0,-7.405,0,89.709,22050,0,9,0.137,0,0.59,291.364,7,0.256,TRBFERE128F93332CF
0.449253877,0.617421407,0,238.44526,0,-8.931,0,68.242,22050,0.374,2,0.707,1,0.374,233.587,4,0,TRBFEGL128F9318DF4
0.536219993,0.767768809,0,209.00526,0,-5.945,1997,153.785,22050,0,7,0.058,1,0.132,203.064,3,0.531,TRBFEIX128F426A5F8
0.364914035,0.585514007,0,196.57098,0,-7.827,1990,114.088,22050,2.194,1,0,1,0.085,177.673,4,0,TRBFEYR128F427230E
0.554633231,0.902062927,0,226.66404,0,-5.303,0,188.018,22050,0.154,5,0.546,1,0.418,223.161,7,1,TRBFEID128F42368AC
0.374862616,0.599019959,0,269.47873,0,-15.391,0,69.487,22050,0.247,7,0.577,1,0.608,263.808,4,0.605,TRBFEHX128F932D632
0.328377305,0.562179018,0,227.73506,0,-7.834,0,151.401,22050,0,11,0.002,0,0,225.721,4,0.671,TRBFJWV128F935366B
0.717209855,0.857319901,0,366.70649,0,-7.098,1995,123.448,22050,0.213,4,0.067,1,0.394,357.03,4,1,TRBFJPO128F4295BE3
0.580345271,0.801989216,0,153.44281,0,-9.326,1997,131.248,22050,0,4,0.994,0,0.747,149.362,4,0.066,TRBFJNF128F1462488
0.240098406,0.391108885,0,41.24689,0,-12.319,0,105.115,22050,0,2,0,1,0,41.247,4,0.461,TRBFJGD128F933E85A
0.359064296,0.705745818,0,218.64444,0,-5.806,2005,130.495,22050,0.274,9,0.746,1,0.499,215.353,4,0.61,TRBFJGB128F42612B1
0.488019842,0.809323793,0,263.70567,0,-10.981,1987,146.01,22050,2.177,4,0.686,1,0.535,258.461,4,0.129,TRBFJKU12903CEDB0C
0.445216987,0.655483478,0,233.35138,0,-13.767,0,101.867,22050,0.073,8,0.399,1,0.651,222.441,4,1,TRBFJFD128F92F6CEA
0.36366811,0.617870116,0,212.24444,0,-6.791,2008,153.058,22050,0,2,0.088,1,0.431,206.292,4,0.943,TRBFJMI128F92E535C
0.461345852,0.649583107,0,197.85098,0,-6.006,2009,80.505,22050,0,1,0.315,1,0.488,190.067,4,0.786,TRBFJOE128F9326B03
0.326208255,0.491256209,0,333.00853,0,-4.197,0,117.236,22050,0,11,0.463,1,0.23,333.009,4,1,TRBFJMR128F930B3A6
0.400387757,0.53813774,0,274.93832,0,-7.964,0,91.341,22050,0.368,4,0.401,0,0.411,271.476,3,0.504,TRBFJVT128F428F3B8
0.343497542,0.411875463,0,228.362,0,-11.71,0,115.082,22050,3.587,4,0.421,0,0.457,222.627,3,1,TRBFJJT128F4228826
0.46311834,0.683388517,0,598.41261,0,-10.76,0,128.239,22050,0.14,9,0.741,1,0.449,589.369,4,0.359,TRBFJDL128F1461579
0.481655862,0.749317801,0,624.66567,0,-12.161,0,101.37,22050,0,2,0.002,1,0.074,616.165,1,0,TRBFJBK128EF357C81
0.392659213,0.58907282,0,195.65669,0,-3.044,2004,144.721,22050,1.53,6,0.363,0,0.368,193.312,4,0.419,TRBFLFI128F427F374
0.351170212,0.447725075,0,206.68036,0,-8.22,0,103.928,22050,0.16,4,0.53,1,0.373,201.073,4,0.793,TRBFLIS128F9306558
0.371836767,0.531010826,0,781.60934,0,-18.626,0,144.354,22050,0,11,0.49,1,0.343,688.826,7,0.63,TRBFLZD12903CE8824
0.414196481,0.506976844,0,397.66159,0,-13.114,0,148.277,22050,3.135,7,0.407,1,0.47,379.106,4,0,TRBFLOC128E0791630
0.392579878,0.558916244,0,175.38567,0,-6.754,2006,124.826,22050,2.316,7,0.517,1,0.542,160.723,4,0.518,TRBFLOA128E078FA6A
0.47594129,0.699262056,0,196.10077,0,-7.467,1994,160.138,22050,0,9,0.458,1,0.471,196.101,4,0.529,TRBFLER128F148C52B
0.454785379,0.683845007,0,196.49261,0,-11.796,1983,143.606,22050,0.433,9,0.172,1,0.202,183.89,4,1,TRBFLSD128F42A0F4C
0.31401179,0.488008882,0,296.6722,0,-6.465,0,140.283,22050,0.287,10,0.733,1,0.564,291.765,4,0.682,TRBFLJY128F4289291
0.391574164,0.490611414,0,255.76444,0,-10.75,2004,98.485,22050,0,2,0.843,1,0.867,245.592,4,0.937,TRBFLQW128F1483D44
0.384601686,0.566024302,0,225.33179,0,-7.991,1995,135.985,22050,0,10,0.203,1,0.401,210.083,4,0.517,TRBFLOH128F42630E3
0.354602926,0.507796885,0,181.08036,0,-13.939,0,72.177,22050,0.328,2,0.42,1,0.373,173.685,1,0,TRBFLHH128F429FDEA
0.916053228,0.865021511,0,295.67955,0,-6.473,2005,137.008,22050,5.671,9,0.526,0,0.496,271.209,3,0.622,TRBFLIP128E07897B4
0.425417872,0.553128999,0,579.44771,0,-12.977,1973,111.011,22050,3.483,0,0.123,1,0.26,574.862,4,1,TRBFOQI128F93428AC
0.269212951,0.629089814,0,204.32934,0,-8.11,0,105.037,22050,0.183,1,0.334,1,0.364,200.609,4,0.649,TRBFODQ128F9338635
0.340030739,0.528563793,0,425.61261,0,-8.571,0,127.84,22050,0,4,0.583,1,0.269,419.677,4,0,TRBFOIY128F93414D1
0.384146444,0.494681417,0,151.562,0,-9.889,0,167.829,22050,0.068,5,0.392,1,0.272,138.223,4,0.949,TRBFOEB128F9305372
0.526549035,0.733637825,0,354.35057,0,-7.333,1986,105.131,22050,3.988,4,0.457,0,0.455,337.56,4,0.685,TRBFOEA128F425D2DB
0,0.075518624,0,168.12363,0,-8.806,0,135.095,22050,1.355,1,0.529,1,0.484,168.124,3,1,TRBFOVT128F4242079
0.315690277,0.487077751,0,327.47057,0,-6.152,2004,133.343,22050,0,7,0.772,1,0.499,314.091,5,0.711,TRBFOKS12903CA0692
0.216606465,0.319704942,0,323.39546,0,-21.14,0,73.526,22050,0.397,2,0.631,1,0.534,313.069,4,0.312,TRBFOGL128F92C3AFA
0.324157493,0.452042247,0,258.16771,0,-12.844,0,60.956,22050,0.276,2,0.55,1,0.499,251.292,4,1,TRBFOIB128F427DC1C
0.479993461,0.777234963,0,224.83546,0,-5.872,0,137.87,22050,0.688,5,0.633,1,0.725,214.639,4,0.416,TRBFOZC128F14874A1
0.276050125,0.600181599,0,230.37342,0,-4.958,0,102.949,22050,0.218,5,0.383,1,0.432,216.602,4,1,TRBFOLO12903CB2676
0.313667192,0.408071911,0,162.21995,0,-13.098,0,127.924,22050,0.282,2,0.424,1,0.538,162.22,4,0,TRBFOBX128F92F9031
